"SQ_CANDIDATO";"NM_VOTAVEL";"NR_VOTAVEL";"SITUCAO";"DS_CARGO";"CARGO_N";"SITUCAO_N";"RECEITA_TOTAL";"QTD_VOTOS";"CUSTO_VOTO";"VR_TOTAL_BEM_CANDIDATO";"Recursos_partido";"Recursos_proprios";"Recursos_outros_candidatos";"Recursos_pessoas_fisicas";"Rendimentos_aplicacoes";"Financiamento_Coletivo";"origens_nao_identificadas";"Comercio_bens_ou_eventos";"Doacoes_Internet";"DESPESA_CONTRATADA"
170000629020;VALDILENE DINIZ DA SILVA DO NASCIMENTO;90090;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.02;0.0000037;0.5405405405405405;;0.02;;;;;;;;;0.012278869999999999
170000617189;RENATA PEREIRA GOMES DA SILVA;31999;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00356;0.0000020;0.178;;0.0035;;;0.00006;;;;;;0.00349
170000617121;MARIA CRISTINA DIAS ALBUQUERQUE DA SILVA;31121;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0012013549999999999;0.0000007;0.17162214285714286;;0.0012;;;0.0000013550000000000002;;;;;;0.0009827100000000001
170000617161;MARIA DE LOURDES PAIXÃO SANTOS;1730;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.04;0.0000274;0.145985401459854;0.0051553895;0.04;;;;;;;;;0.039202
170000629019;ZORAIDE ALVES DA SILVA;90458;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.015;0.0000147;0.10204081632653061;;0.015;;;;;;;;;0.014508065999999998
170000610388;PATRICIA FERREIRA PAULO SANTIAGO;55055;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.051810948;0.0000595;0.08707722352941177;;0.050551728000000004;0.0000013199999999999999;0.012579;;;;;;;0.048861470000000004
170000600619;NERIVALDO LIRA ALVES ;3060;NÃO ELEITO;DEPUTADO FEDERAL;0.6000;0.4000;0.0059569160000000005;0.0000091;0.0654606153846154;0.0328677508;0.00010991599999999998;0.005847;;;;;;;;0.0058762269999999995
170000629253;DAYSIANE FELIX GOMES DOS SANTOS;70194;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00017132;0.0000003;0.057106666666666674;;;0.0000013199999999999999;;0.00017;;;;;;0.0000013199999999999999
170000617131;FERNANDO JOSÉ DE ANDRADE LIMA;4342;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0045333330000000005;0.0000088;0.05151514772727273;0.0098;0.0045333330000000005;;;;;;;;;0.004399999999999999
170000617023;DELMA CRISTINA CAMINHA DA SILVA;45111;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.028746136000000005;0.0000688;0.04178217441860466;;0.028746136000000005;;;;;;;;;0.016499718999999996
